lfdn,duration,v_Assent,consent,age,gender,v_788,v_89,v_468,v_469,v_470,v_471,v_472,v_473,v_474,v_475,v_476,v_477,v_478,v_479,v_480,v_481,v_482,v_483,v_484,v_563,v_485,v_486,v_487,v_488,v_489,v_490,v_491,v_492,v_493,v_494,v_495,v_496,v_497,v_498,v_499,v_500,v_501,v_502,v_503,v_504,v_505,v_506,v_507,v_508,v_509,v_510,v_511,v_512,v_513,v_514,v_515,v_516,v_455,v_517,v_518,v_519,v_520,v_521,v_522,v_523,v_524,v_525,v_526,v_527,v_528,v_529,v_530,v_531,v_532,v_533,v_534,v_535,v_536,v_537,v_538,v_539,v_540,v_542,v_543,v_544,v_545,v_546,v_547,v_548,v_549,v_550,v_551,v_552,v_553,v_554,v_555,v_556,v_557,v_558,v_559,v_560,v_561,v_Serious
26,269,1,1,23,1,NA,7,1,5,1,7,5,5,4,1,5,4,6,1,1,3,3,1,5,NA,5,1,1,4,3,1,2,2,5,5,4,1,1,5,5,1,1,1,3,5,2,5,4,2,1,5,4,2,2,1,1,3,0,1,2,5,1,2,1,3,5,1,1,1,2,4,1,1,3,1,1,1,1,1,4,5,4,4,1,1,1,2,1,2,4,1,1,2,1,1,1,1,1,2,1,1,2,1
27,613,1,1,32,2,NA,8,1,2,1,1,1,7,4,1,4,4,1,1,1,2,1,1,1,NA,2,1,1,1,1,3,1,1,4,2,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,4,1,1,3,1,3,4,0,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,4,1,1,1,3,1,1,3,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,108,1,1,22,4,NA,6,1,2,2,4,4,3,4,7,1,2,1,3,7,2,2,1,5,NA,1,4,7,3,2,2,1,1,3,2,4,5,2,3,2,5,4,3,3,1,3,3,3,1,5,1,4,2,1,6,3,1,3,3,2,4,4,3,3,3,2,6,3,2,3,2,2,2,4,2,4,3,2,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,274,1,1,30,2,NA,7,6,5,4,4,5,5,6,6,5,5,5,5,4,6,5,6,5,NA,5,5,5,5,5,5,6,5,5,5,4,4,5,5,5,5,5,6,5,6,5,6,4,5,5,6,6,6,5,5,5,5,5,5,4,5,4,4,5,5,5,4,4,5,4,5,5,5,4,5,4,5,5,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,292,1,1,32,2,NA,7,4,4,6,5,5,6,6,4,5,4,4,5,6,5,4,4,5,NA,5,6,6,5,4,5,5,5,6,4,4,4,4,3,5,4,3,5,4,5,5,5,5,6,5,6,6,6,5,6,5,5,0,5,4,4,4,4,5,6,6,5,5,6,5,5,4,5,4,6,5,5,6,4,4,4,6,5,4,5,4,5,6,3,4,4,5,4,4,5,5,5,4,4,6,5,6,1
31,387,1,1,39,1,NA,8,1,1,1,1,4,7,7,1,7,7,7,1,4,1,1,7,7,NA,7,1,5,4,1,4,7,4,7,7,1,1,1,5,7,1,1,1,1,7,1,7,4,7,1,7,7,1,7,1,1,7,0,7,1,7,1,1,1,1,7,1,1,7,1,7,1,2,1,1,4,1,1,1,1,7,4,7,7,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1
32,339,1,1,25,1,NA,8,1,1,3,5,1,5,7,2,6,5,6,1,1,1,2,1,5,NA,6,1,1,1,2,1,1,1,5,6,5,1,1,1,6,1,1,1,1,1,4,1,1,1,1,4,1,1,3,1,1,1,0,1,1,4,1,4,1,1,7,1,1,1,1,5,1,6,6,1,1,1,1,1,1,6,1,5,6,1,1,6,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1
33,315,1,1,38,1,NA,7,1,1,1,1,1,6,6,1,6,1,4,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,1,1,1,4,1,1,1,6,1,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,1,0,1,1,3,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,165,1,1,37,2,NA,8,4,2,3,1,5,5,5,2,6,4,6,2,1,2,1,3,4,NA,6,1,3,4,4,3,4,3,3,6,2,3,2,3,6,3,3,3,4,5,3,4,2,3,4,4,4,3,6,2,3,6,3,3,3,6,4,5,4,4,4,3,4,4,3,4,3,3,5,4,4,4,3,3,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,301,1,1,35,1,NA,6,1,5,6,1,1,6,6,1,7,7,6,1,1,1,1,5,5,NA,6,1,5,4,1,5,6,4,5,7,5,1,4,4,7,2,1,4,1,7,1,4,4,4,1,4,6,2,6,1,1,6,0,5,1,7,1,1,1,1,7,1,2,5,5,6,1,6,3,1,5,4,1,5,1,7,4,5,7,4,3,5,5,1,5,5,3,1,1,1,1,3,1,4,6,1,5,1
36,29,1,1,40,1,NA,6,1,2,1,5,1,3,2,6,2,2,1,1,4,5,6,4,2,NA,3,1,1,1,7,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,913,1,1,32,4,NA,7,1,4,3,4,2,5,5,3,6,5,6,1,4,6,4,5,6,NA,5,2,4,4,4,5,5,3,3,6,6,4,4,5,6,4,3,4,3,6,5,5,4,5,4,4,4,4,6,4,4,5,0,5,2,6,3,3,2,2,6,2,2,3,4,5,3,3,3,2,2,4,3,5,2,6,2,4,6,4,5,4,4,6,4,5,6,3,2,3,2,1,1,3,5,3,6,1
38,386,1,1,24,1,NA,7,1,4,1,1,4,7,7,1,7,7,7,1,1,1,1,7,7,NA,7,1,1,4,1,1,7,1,7,7,7,1,4,5,7,1,1,3,1,7,1,7,1,5,1,4,1,1,7,1,1,7,0,7,1,7,1,1,1,1,7,1,1,7,4,7,1,3,1,1,3,4,1,1,1,7,1,7,7,4,1,7,4,1,1,7,1,1,1,1,1,1,1,1,7,1,5,1
39,240,1,1,40,4,NA,8,3,3,6,1,2,4,7,2,7,7,6,1,2,1,2,7,7,NA,6,1,5,2,5,4,4,2,6,6,6,2,2,2,6,1,2,2,2,4,2,4,4,4,2,5,2,2,5,2,5,6,0,4,3,5,2,4,4,2,4,2,2,2,2,1,3,5,6,4,2,2,2,4,5,5,4,4,5,3,2,4,2,6,4,4,3,3,2,2,2,3,2,2,3,2,4,1
40,295,1,1,44,2,NA,6,1,1,1,1,1,4,6,1,7,6,5,1,1,1,1,1,5,NA,6,1,2,1,1,3,4,1,1,6,1,1,1,1,6,1,1,1,1,6,1,1,2,1,1,1,2,1,6,1,1,4,0,1,1,3,1,1,1,1,5,1,4,4,2,5,1,1,1,1,1,3,1,1,1,6,1,4,6,1,1,1,2,1,1,4,3,1,1,1,1,1,3,1,4,3,1,1
41,396,1,1,41,1,NA,5,1,1,1,4,1,1,6,5,5,5,3,1,1,5,5,1,3,NA,4,1,1,1,5,1,1,1,1,4,4,1,1,1,4,1,1,1,1,3,3,1,1,1,1,1,1,1,3,1,1,1,0,2,5,3,3,5,4,3,4,1,1,1,1,1,5,1,1,1,1,1,1,1,4,4,1,3,3,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1
42,218,1,1,20,2,NA,4,4,5,4,4,5,5,4,5,3,4,4,3,5,4,3,5,4,NA,5,4,5,4,4,5,4,3,5,5,3,5,3,4,4,4,4,4,4,4,5,4,4,4,4,5,5,3,4,5,5,3,0,4,4,4,5,4,3,4,4,4,4,4,4,5,4,3,3,4,3,4,4,3,4,4,3,4,6,4,5,5,5,5,4,3,4,4,4,5,4,4,4,6,5,5,5,1
43,925,1,1,32,1,NA,8,7,7,7,1,1,7,7,1,7,7,7,7,7,1,7,7,7,NA,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,1,7,7,7,1,7,7,7,7,1,1,7,0,7,1,7,1,7,7,1,7,1,1,7,7,7,7,7,1,1,7,7,1,7,1,7,7,7,7,7,7,7,7,1,7,7,7,7,1,1,7,7,1,7,7,1,7,1
44,520,1,1,43,2,NA,8,1,4,4,7,1,4,7,3,5,7,7,1,1,3,5,1,7,NA,7,1,2,3,3,1,4,1,1,7,7,1,1,1,7,1,1,1,1,6,3,1,6,1,1,5,1,1,6,1,1,6,0,5,1,4,2,6,2,5,6,1,1,5,2,4,2,1,4,1,6,1,1,3,3,7,4,6,7,4,1,1,1,1,1,4,2,4,1,1,1,1,2,1,6,3,3,1
45,63,1,1,43,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,571,1,1,27,1,NA,7,3,5,3,4,2,4,5,4,4,4,5,3,4,5,3,3,5,NA,4,5,4,4,4,4,5,3,5,5,4,4,5,4,4,4,3,4,4,4,4,3,6,4,5,4,4,5,3,4,3,4,0,3,5,4,5,5,3,4,4,5,4,4,4,3,5,4,3,3,4,5,4,5,5,5,5,4,4,3,4,5,4,4,4,5,4,4,5,4,4,5,5,4,3,5,3,1
47,397,1,1,51,1,NA,5,2,1,3,7,1,4,4,4,4,3,5,1,1,4,7,1,3,NA,4,1,1,1,7,1,3,1,3,4,6,1,1,1,4,1,1,1,1,3,5,4,1,1,1,1,1,1,3,1,4,3,0,3,6,2,2,5,6,4,5,1,1,4,1,2,3,2,4,1,4,1,1,3,5,4,2,1,3,5,1,5,1,3,1,6,1,4,1,1,1,1,1,1,1,1,4,1
48,340,1,1,31,1,NA,8,1,5,6,1,5,6,6,3,5,5,6,2,6,3,2,6,5,NA,5,1,1,5,3,5,5,3,5,5,1,1,5,5,6,1,1,1,5,6,1,5,5,1,5,6,1,1,5,5,1,5,0,5,1,5,1,1,5,1,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,3,6,5,5,5,1,6,1,1,5,5,5,6,6,5,1
49,305,1,1,26,2,NA,7,2,3,1,5,3,3,6,3,6,4,6,3,3,5,6,2,4,NA,5,1,1,5,3,3,5,3,1,4,4,3,1,1,4,2,3,3,1,4,7,5,2,3,5,5,2,2,4,3,6,5,0,4,4,5,5,2,3,6,5,1,3,3,2,4,3,1,3,5,5,3,4,6,3,5,1,5,4,1,2,1,2,5,6,4,3,5,1,1,1,1,1,1,3,1,3,1
